"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-114.01","51.12","CALGARY INTL A","3031092","2024-06-01 00:00","2024","06","01","00:00","","9.9","","-6.3","","31","","","","3","","6","","24.1","","88.78","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-06-01 01:00","2024","06","01","01:00","","6.5","","-4.9","","44","","","","7","","10","","24.1","","88.76","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-06-01 02:00","2024","06","01","02:00","","5.9","","-4.9","","46","","","","9","","13","","24.1","","88.73","","","","","","Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2024-06-01 03:00","2024","06","01","03:00","","3.4","","-4.6","","56","","","","12","","7","","24.1","","88.73","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-06-01 04:00","2024","06","01","04:00","","4.2","","-4.3","","54","","","","16","","3","","32.2","","88.70","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-06-01 05:00","2024","06","01","05:00","","3.5","","-3.4","","61","","","","20","","5","","64.4","","88.67","","","","","","Mainly Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2024-06-01 06:00","2024","06","01","06:00","","6.5","","-3.2","","50","","","","18","","4","","64.4","","88.64","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-06-01 07:00","2024","06","01","07:00","","9.9","","-2.0","","43","","","","20","","7","","48.3","","88.63","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-06-01 08:00","2024","06","01","08:00","","11.9","","-1.6","","39","","","","20","","9","","64.4","","88.61","","","","","","Mostly Cloudy"
"-114.01","51.12","CALGARY INTL A","3031092","2024-06-01 09:00","2024","06","01","09:00","","12.6","","-5.0","","29","","","","18","","8","","64.4","","88.55","","","","","","NA"
