"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-114.01","51.12","CALGARY INTL A","3031092","2023-06-01 00:00","2023","06","01","00:00","","12.8","","8.5","","75","","","","35","","27","","24.1","","88.51","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2023-06-01 01:00","2023","06","01","01:00","","12.4","","7.8","","73","","","","35","","28","","24.1","","88.53","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2023-06-01 02:00","2023","06","01","02:00","","11.7","","8.4","","80","","","","34","","28","","24.1","","88.60","","","","","","Mainly Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2023-06-01 03:00","2023","06","01","03:00","","12.0","","8.8","","80","","","","34","","30","","24.1","","88.66","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2023-06-01 04:00","2023","06","01","04:00","","11.8","","8.2","","78","","","","34","","29","","24.1","","88.71","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2023-06-01 05:00","2023","06","01","05:00","","11.6","","8.5","","81","","","","35","","21","","24.1","","88.81","","","","","","Mostly Cloudy"
"-114.01","51.12","CALGARY INTL A","3031092","2023-06-01 06:00","2023","06","01","06:00","","11.8","","8.4","","80","","","","34","","27","","24.1","","88.86","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2023-06-01 07:00","2023","06","01","07:00","","12.1","","8.6","","79","","","","35","","27","","19.3","","88.90","","","","","","Rain"
"-114.01","51.12","CALGARY INTL A","3031092","2023-06-01 08:00","2023","06","01","08:00","","12.4","","8.2","","75","","","","34","","28","","19.3","","88.97","","","","","","Cloudy"
"-114.01","51.12","CALGARY INTL A","3031092","2023-06-01 09:00","2023","06","01","09:00","","12.2","","8.4","","78","","","","36","","29","","19.3","","89.01","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2023-06-01 10:00","2023","06","01","10:00","","10.6","","6.7","","77","","","","35","","36","","19.3","","89.06","","","","","","Rain"
"-114.01","51.12","CALGARY INTL A","3031092","2023-06-01 11:00","2023","06","01","11:00","","9.8","","5.5","","74","","","","34","","29","","19.3","","89.12","","","","","","Rain"
"-114.01","51.12","CALGARY INTL A","3031092","2023-06-01 12:00","2023","06","01","12:00","","9.4","","5.5","","77","","","","33","","34","","19.3","","89.15","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2023-06-01 13:00","2023","06","01","13:00","","10.0","","5.5","","73","","","","34","","35","","19.3","","89.16","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2023-06-01 14:00","2023","06","01","14:00","","9.9","","5.6","","74","","","","35","","31","","19.3","","89.17","","","","","","Cloudy"
"-114.01","51.12","CALGARY INTL A","3031092","2023-06-01 15:00","2023","06","01","15:00","","10.4","","5.8","","73","","","","34","","32","","19.3","","89.18","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2023-06-01 16:00","2023","06","01","16:00","","10.1","","6.0","","75","","","","33","","29","","19.3","","89.19","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2023-06-01 17:00","2023","06","01","17:00","","10.5","","6.1","","74","","","","34","","26","","24.1","","89.21","","","","","","Cloudy"
"-114.01","51.12","CALGARY INTL A","3031092","2023-06-01 18:00","2023","06","01","18:00","","10.4","","6.0","","74","","","","35","","21","","24.1","","89.26","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2023-06-01 19:00","2023","06","01","19:00","","10.2","","6.0","","75","","","","35","","20","","19.3","","89.28","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2023-06-01 20:00","2023","06","01","20:00","","10.1","","5.9","","75","","","","33","","22","","19.3","","89.32","","","","","","Mostly Cloudy"
"-114.01","51.12","CALGARY INTL A","3031092","2023-06-01 21:00","2023","06","01","21:00","","9.6","","5.8","","77","","","","36","","16","","19.3","","89.37","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2023-06-01 22:00","2023","06","01","22:00","","8.9","","5.6","","80","","","","33","","13","","24.1","","89.39","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2023-06-01 23:00","2023","06","01","23:00","","7.7","","5.0","","83","","","","32","","4","","24.1","","89.38","","","","","","Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2023-06-02 00:00","2023","06","02","00:00","","7.3","","4.6","","83","","","","31","","8","","24.1","","89.35","","","","","","NA"
