"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-114.01","51.12","CALGARY INTL A","3031092","2024-02-01 00:00","2024","02","01","00:00","","3.9","","-1.2","","69","","","","16","","8","","24.1","","87.66","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-02-01 01:00","2024","02","01","01:00","","5.5","","-1.4","","61","","","","19","","16","","24.1","","87.66","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-02-01 02:00","2024","02","01","02:00","","5.6","","-1.7","","59","","","","19","","10","","24.1","","87.68","","","","","","Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2024-02-01 03:00","2024","02","01","03:00","","5.6","","-2.2","","57","","","","19","","9","","24.1","","87.69","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-02-01 04:00","2024","02","01","04:00","","5.7","","-2.1","","57","","","","21","","12","","24.1","","87.67","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-02-01 05:00","2024","02","01","05:00","","3.4","","-2.4","","66","","","","21","","3","","24.1","","87.66","","","","","","Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2024-02-01 06:00","2024","02","01","06:00","","6.0","","-2.4","","55","","","","25","","8","","24.1","","87.64","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-02-01 07:00","2024","02","01","07:00","","5.7","","-2.6","","55","","","","20","","15","","24.1","","87.62","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-02-01 08:00","2024","02","01","08:00","","5.4","","-2.5","","57","","","","22","","16","","48.3","","87.60","","","","","","Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2024-02-01 09:00","2024","02","01","09:00","","3.4","","-2.7","","64","","","","20","","7","","64.4","","87.61","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-02-01 10:00","2024","02","01","10:00","","4.7","","-2.0","","62","","","","18","","9","","64.4","","87.61","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-02-01 11:00","2024","02","01","11:00","","8.0","","-1.9","","50","","","","20","","10","","64.4","","87.61","","","","","","Clear"
