"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-114.01","51.12","CALGARY INTL A","3031092","2024-04-01 00:00","2024","04","01","00:00","","0.1","","-4.5","","71","","","","10","","14","","24.1","","87.77","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-04-01 01:00","2024","04","01","01:00","","4.7","","-5.0","","49","","","","12","","12","","16.1","","87.81","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-04-01 02:00","2024","04","01","02:00","","6.5","","-5.2","","43","","","","31","","21","","16.1","","87.84","","","","","","Mostly Cloudy"
"-114.01","51.12","CALGARY INTL A","3031092","2024-04-01 03:00","2024","04","01","03:00","","6.6","","-5.6","","41","","","","32","","14","","16.1","","87.92","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-04-01 04:00","2024","04","01","04:00","","7.7","","-6.3","","36","","","","29","","12","","24.1","","87.96","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-04-01 05:00","2024","04","01","05:00","","6.9","","-6.0","","39","","","","29","","5","","24.1","","88.05","","","","","","Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2024-04-01 06:00","2024","04","01","06:00","","3.4","","-5.6","","52","","","","6","","16","","32.2","","88.16","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-04-01 07:00","2024","04","01","07:00","","3.2","","-5.1","","54","","","","7","","7","","64.4","","88.24","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-04-01 08:00","2024","04","01","08:00","","5.1","","-5.0","","48","","","","3","","4","","64.4","","88.32","","","","","","Mainly Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2024-04-01 09:00","2024","04","01","09:00","","6.2","","-4.5","","46","","","","22","","9","","64.4","","88.37","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-04-01 10:00","2024","04","01","10:00","","7.8","","-4.2","","42","","","","17","","14","","64.4","","88.45","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-04-01 11:00","2024","04","01","11:00","","9.6","","-5.7","","34","","","","15","","7","","64.4","","88.50","","","","","","Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2024-04-01 12:00","2024","04","01","12:00","","8.8","","-3.0","","43","","","","15","","27","","64.4","","88.51","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-04-01 13:00","2024","04","01","13:00","","9.2","","-2.9","","43","","","","12","","26","","64.4","","88.57","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-04-01 14:00","2024","04","01","14:00","","9.2","","-1.9","","46","","","","15","","20","","64.4","","88.56","","","","","","Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2024-04-01 15:00","2024","04","01","15:00","","9.7","","-1.2","","46","","","","15","","19","","64.4","","88.56","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-04-01 16:00","2024","04","01","16:00","","10.2","","-0.3","","48","","","","12","","24","","24.1","","88.56","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-04-01 17:00","2024","04","01","17:00","","10.2","","0.6","","51","","","","13","","21","","24.1","","88.59","","","","","","Mainly Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2024-04-01 18:00","2024","04","01","18:00","","8.9","","1.0","","57","","","","13","","17","","24.1","","88.61","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-04-01 19:00","2024","04","01","19:00","","6.2","","0.4","","66","","","","13","","18","","32.2","","88.66","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-04-01 20:00","2024","04","01","20:00","","5.9","","-0.3","","65","","","","14","","8","","32.2","","88.75","","","","","","Mainly Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2024-04-01 21:00","2024","04","01","21:00","","3.5","","-0.8","","73","","","","9","","10","","24.1","","88.80","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-04-01 22:00","2024","04","01","22:00","","3.0","","-0.8","","76","","","","7","","11","","24.1","","88.83","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-04-01 23:00","2024","04","01","23:00","","1.4","","-1.5","","81","","","","7","","15","","24.1","","88.87","","","","","","Mainly Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2024-04-02 00:00","2024","04","02","00:00","","2.2","","-1.4","","77","","","","9","","14","","24.1","","88.87","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-04-02 01:00","2024","04","02","01:00","","2.0","","-3.7","","66","","","","8","","10","","24.1","","88.89","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-04-02 02:00","2024","04","02","02:00","","1.1","","-3.4","","72","","","","9","","15","","24.1","","88.92","","","","","","Mainly Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2024-04-02 03:00","2024","04","02","03:00","","2.6","","-3.9","","62","","","","17","","5","","24.1","","88.95","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-04-02 04:00","2024","04","02","04:00","","3.8","","-4.2","","56","","","","21","","10","","24.1","","88.92","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-04-02 05:00","2024","04","02","05:00","","1.3","","-3.6","","70","","","","14","","13","","24.1","","88.90","","","","","","Mainly Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2024-04-02 06:00","2024","04","02","06:00","","2.7","","-3.8","","62","","","","14","","13","","32.2","","88.88","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-04-02 07:00","2024","04","02","07:00","","2.6","","-2.4","","69","","","","17","","10","","64.4","","88.85","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-04-02 08:00","2024","04","02","08:00","","6.8","","-0.6","","59","","","","18","","11","","64.4","","88.79","","","","","","Cloudy"
"-114.01","51.12","CALGARY INTL A","3031092","2024-04-02 09:00","2024","04","02","09:00","","7.3","","-0.4","","58","","","","15","","14","","64.4","","88.80","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-04-02 10:00","2024","04","02","10:00","","11.4","","-1.9","","39","","","","22","","13","","64.4","","88.80","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-04-02 11:00","2024","04","02","11:00","","12.2","","2.1","","50","","","","17","","4","","64.4","","88.79","","","","","","Mostly Cloudy"
"-114.01","51.12","CALGARY INTL A","3031092","2024-04-02 12:00","2024","04","02","12:00","","12.4","","0.4","","44","","","","13","","12","","64.4","","88.78","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-04-02 13:00","2024","04","02","13:00","","11.3","","0.7","","48","","","","12","","17","","64.4","","88.71","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-04-02 14:00","2024","04","02","14:00","","12.0","","0.1","","44","","","","12","","19","","64.4","","88.67","","","","","","Cloudy"
"-114.01","51.12","CALGARY INTL A","3031092","2024-04-02 15:00","2024","04","02","15:00","","16.7","","-2.9","","26","","","","25","","23","","24.1","","88.57","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-04-02 16:00","2024","04","02","16:00","","16.9","","-2.2","","27","","","","23","","12","","24.1","","88.57","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-04-02 17:00","2024","04","02","17:00","","15.5","","0.8","","37","","","","17","","23","","24.1","","88.52","","","","","","Mostly Cloudy"
"-114.01","51.12","CALGARY INTL A","3031092","2024-04-02 18:00","2024","04","02","18:00","","15.7","","0.0","","34","","","","16","","21","","24.1","","88.47","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-04-02 19:00","2024","04","02","19:00","","12.4","","0.3","","43","","","","13","","13","","32.2","","88.43","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-04-02 20:00","2024","04","02","20:00","","13.4","","-0.3","","39","","","","17","","8","","24.1","","88.45","","","","","","Mostly Cloudy"
"-114.01","51.12","CALGARY INTL A","3031092","2024-04-02 21:00","2024","04","02","21:00","","10.6","","0.3","","49","","","","12","","10","","24.1","","88.37","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-04-02 22:00","2024","04","02","22:00","","9.2","","-1.0","","49","","","","14","","14","","24.1","","88.33","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-04-02 23:00","2024","04","02","23:00","","8.0","","-0.6","","55","","","","17","","20","","24.1","","88.25","","","","","","Mostly Cloudy"
"-114.01","51.12","CALGARY INTL A","3031092","2024-04-03 00:00","2024","04","03","00:00","","7.3","","-0.4","","58","","","","13","","14","","24.1","","88.17","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-04-03 01:00","2024","04","03","01:00","","4.5","","-0.5","","70","","","","8","","19","","24.1","","88.12","","","","","","NA"
