datetime,outside_temperature_C,calgary_load_MW,thermal_heating_load_kW,COP_Lorenz,COP_Carnot,HP_load_Lorenz_kW_per_unit,HP_load_Carnot_kW_per_unit,total_HP_load_Lorenz_MW,HP_modifier_Lorenz_percent,modified_forecast_Lorenz_MW,total_HP_load_Carnot_MW,HP_modifier_Carnot_percent,modified_forecast_Carnot_MW,estimated_Calgary_HP_count
2023-11-01 00:00:00,-3.5,100.173998,2.6875,6.0,6.0,0.4479166666666667,0.4479166666666667,0.1904765625,0.19014571276270714,100.36447456249999,0.1904765625,0.19014571276270714,100.36447456249999,425.25
2023-11-01 01:00:00,-4.5,95.4448056,2.8125,6.0,6.0,0.46875,0.46875,0.1993359375,0.2088494352803208,95.64414153749999,0.1993359375,0.2088494352803208,95.64414153749999,425.25
2023-11-01 02:00:00,-5.7,100.8072769,2.9625,6.0,6.0,0.49374999999999997,0.49374999999999997,0.20996718749999999,0.20828574479626677,101.0172440875,0.20996718749999999,0.20828574479626677,101.0172440875,425.25
2023-11-01 03:00:00,-4.3,89.3625387,2.7875,6.0,6.0,0.46458333333333335,0.46458333333333335,0.1975640625,0.2210815240637294,89.56010276250001,0.1975640625,0.2210815240637294,89.56010276250001,425.25
2023-11-01 04:00:00,-4.9,93.7056649,2.8625,6.0,6.0,0.4770833333333333,0.4770833333333333,0.2028796875,0.21650738801811753,93.9085445875,0.2028796875,0.21650738801811753,93.9085445875,425.25
2023-11-01 05:00:00,-4.1,109.0139829,2.7625,6.0,6.0,0.4604166666666667,0.4604166666666667,0.19579218750000002,0.17960282001585323,109.2097750875,0.19579218750000002,0.17960282001585323,109.2097750875,425.25
2023-11-01 06:00:00,-4.9,115.8853037,2.8625,6.0,6.0,0.4770833333333333,0.4770833333333333,0.2028796875,0.17506938414314221,116.0881833875,0.2028796875,0.17506938414314221,116.0881833875,425.25
2023-11-01 07:00:00,-5.1,100.9465005,2.8875,6.0,6.0,0.48125,0.48125,0.20465156250000002,0.20273269651383313,101.1511520625,0.20465156250000002,0.20273269651383313,101.1511520625,425.25
2023-11-01 08:00:00,-3.5,95.1574762,2.6875,6.0,6.0,0.4479166666666667,0.4479166666666667,0.1904765625,0.200169834369777,95.3479527625,0.1904765625,0.200169834369777,95.3479527625,425.25
2023-11-01 09:00:00,-2.3,95.2385918,2.5375,6.0,6.0,0.42291666666666666,0.42291666666666666,0.1798453125,0.1888365935498849,95.4184371125,0.1798453125,0.1888365935498849,95.4184371125,425.25
2023-11-01 10:00:00,0.9,96.158481,2.1375,6.0,6.0,0.35625,0.35625,0.1514953125,0.1575475308308999,96.3099763125,0.1514953125,0.1575475308308999,96.3099763125,425.25
2023-11-01 11:00:00,3.0,94.7720696,1.875,6.0,6.0,0.3125,0.3125,0.132890625,0.14022129680282938,94.904960225,0.132890625,0.14022129680282938,94.904960225,425.25
2023-11-01 12:00:00,4.7,95.088407,1.6625,6.0,6.0,0.27708333333333335,0.27708333333333335,0.1178296875,0.12391593383197597,95.20623668750001,0.1178296875,0.12391593383197597,95.20623668750001,425.25
2023-11-01 13:00:00,5.5,94.7237346,1.5625,6.0,6.0,0.2604166666666667,0.2604166666666667,0.11074218750000002,0.11691070666464203,94.8344767875,0.11074218750000002,0.11691070666464203,94.8344767875,425.25
2023-11-01 14:00:00,4.3,94.5561628,1.7125,6.0,6.0,0.28541666666666665,0.28541666666666665,0.1213734375,0.12836121296157335,94.6775362375,0.1213734375,0.12836121296157335,94.6775362375,425.25
2023-11-01 15:00:00,5.5,94.6467557,1.5625,6.0,6.0,0.2604166666666667,0.2604166666666667,0.11074218750000002,0.11700579346958008,94.7574978875,0.11074218750000002,0.11700579346958008,94.7574978875,425.25
2023-11-01 16:00:00,4.3,92.8597029,1.7125,6.0,6.0,0.28541666666666665,0.28541666666666665,0.1213734375,0.13070625223807386,92.9810763375,0.1213734375,0.13070625223807386,92.9810763375,425.25
2023-11-01 17:00:00,3.2,95.5328112,1.85,6.0,6.0,0.30833333333333335,0.30833333333333335,0.13111875,0.13724996506749926,95.66392995,0.13111875,0.13724996506749926,95.66392995,425.25
2023-11-01 18:00:00,3.0,93.4458097,1.875,6.0,6.0,0.3125,0.3125,0.132890625,0.14221143294347208,93.578700325,0.132890625,0.14221143294347208,93.578700325,425.25
2023-11-01 19:00:00,1.8,92.1480925,2.025,6.0,6.0,0.33749999999999997,0.33749999999999997,0.143521875,0.15575132496638494,92.29161437500001,0.143521875,0.15575132496638494,92.29161437500001,425.25
2023-11-01 20:00:00,1.6,89.2343335,2.05,6.0,6.0,0.3416666666666666,0.3416666666666666,0.14529375,0.1628226987317611,89.37962725,0.14529375,0.1628226987317611,89.37962725,425.25
2023-11-01 21:00:00,1.7,85.5042196,2.0375,6.0,6.0,0.33958333333333335,0.33958333333333335,0.1444078125,0.16888969126384495,85.6486274125,0.1444078125,0.16888969126384495,85.6486274125,425.25
2023-11-01 22:00:00,0.4,81.500017,2.2,6.0,6.0,0.3666666666666667,0.3666666666666667,0.155925,0.1913189784978818,81.655942,0.155925,0.1913189784978818,81.655942,425.25
2023-11-01 23:00:00,-1.1,79.3220092,2.3875,6.0,6.0,0.3979166666666667,0.3979166666666667,0.1692140625,0.2133254870957051,79.4912232625,0.1692140625,0.2133254870957051,79.4912232625,425.25
2023-11-02 00:00:00,0.0,78.1351381,2.25,6.0,6.0,0.375,0.375,0.15946875,0.20409351525802188,78.29460685000001,0.15946875,0.20409351525802188,78.29460685000001,425.25
2023-11-02 01:00:00,0.5,77.9057854,2.1875,6.0,6.0,0.3645833333333333,0.3645833333333333,0.1550390625,0.1990084070187681,78.0608244625,0.1550390625,0.1990084070187681,78.0608244625,425.25
2023-11-02 02:00:00,0.6,76.8448196,2.175,6.0,6.0,0.3625,0.3625,0.154153125,0.20060314514682004,76.99897272499999,0.154153125,0.20060314514682004,76.99897272499999,425.25
2023-11-02 03:00:00,1.0,75.4414697,2.125,6.0,6.0,0.3541666666666667,0.3541666666666667,0.150609375,0.1996373819318634,75.592079075,0.150609375,0.1996373819318634,75.592079075,425.25
2023-11-02 04:00:00,1.5,77.5395468,2.0625,6.0,6.0,0.34375,0.34375,0.1461796875,0.18852275197976784,77.68572648749999,0.1461796875,0.18852275197976784,77.68572648749999,425.25
2023-11-02 05:00:00,0.9,82.1831937,2.1375,6.0,6.0,0.35625,0.35625,0.1514953125,0.18433855594979148,82.33468901250001,0.1514953125,0.18433855594979148,82.33468901250001,425.25
2023-11-02 06:00:00,2.8,88.9914221,1.9,6.0,6.0,0.31666666666666665,0.31666666666666665,0.1346625,0.1513207642065538,89.1260846,0.1346625,0.1513207642065538,89.1260846,425.25
