month,HOT2000_HP_electrical_input_MJ,HOT2000_heating_load_MJ,methodology_2_heat_delivered_MJ,difference_MJ,absolute_difference_MJ,percentage_difference,absolute_percentage_difference
Jan,1172.3,4262.3,4501.632,239.33199999999943,239.33199999999943,5.615090444126397,5.615090444126397
Feb,885.4,3178.9,3399.9359999999997,221.0359999999996,221.0359999999996,6.9532228129226965,6.9532228129226965
Mar,528.4,1865.0,2029.0559999999998,164.0559999999998,164.0559999999998,8.79656836461125,8.79656836461125
Apr,66.0,229.4,253.44,24.039999999999992,24.039999999999992,10.479511769834348,10.479511769834348
Nov,478.2,1699.6,1836.2879999999998,136.68799999999987,136.68799999999987,8.042362908919738,8.042362908919738
Dec,956.5,3450.1,3672.96,222.86000000000013,222.86000000000013,6.459522912379355,6.459522912379355
