hour,temperature_c,total_load_mw,ducted_ashp_mw,ductless_minisplit_mw,hybrid_dualfuel_mw,ground_source_mw
0,-9.494007486617413,1.320716792096123,0.6180513121786871,0.16554945861929118,0.4635384841340153,0.07357753716412939
1,-10.570833333333333,1.4049442074344811,0.6583642202137612,0.1763475589858289,0.4937731651603208,0.07645926307457009
2,-11.52444806885336,1.51186548282112,0.7100870484584475,0.19020188797994125,0.5325652863438356,0.07901126003889544
3,-12.313174153284079,1.6074543191846151,0.7564124799635282,0.20261048570451645,0.5673093599726461,0.0811219935439244
4,-12.9025404720082,1.683593488065341,0.7933635338483498,0.21250808942366506,0.5950226503862622,0.08269921440706399
5,-13.266788888804108,1.7328400109704818,0.8172858154503096,0.2189158434241901,0.6129643615877323,0.08367399050824972
6,-13.39,1.7498973034858574,0.8255755814669343,0.22113631646435736,0.6191816861002006,0.08400371945436508
7,-13.049966893531215,1.7033167459333038,0.8029423713160083,0.21507384945964506,0.6022067784870062,0.08309374667064413
8,-12.070880585119172,1.5773518154771797,0.7418157605006369,0.19870065013409913,0.5563618203754775,0.08047358446696605
9,-10.570833333333335,1.4049442074344813,0.6583642202137613,0.17634755898582893,0.49377316516032094,0.07645926307457009
10,-8.73075297507871,1.2840526917272352,0.600893738747007,0.16095368002151975,0.45067030406025527,0.07153496889845322
11,-6.772580358254625,1.1899888686151918,0.5568750137252151,0.14916295010496836,0.4176562602939114,0.06629464449109704
12,-4.932500000000001,1.101597788153894,0.5155109426458334,0.13808328820870536,0.38663320698437503,0.06137035031498016
13,-3.4324527482141622,1.0295407191603865,0.4817906429497073,0.12905106507581446,0.3613429822122805,0.05735602892258419
14,-2.453366439802119,0.9825088076043648,0.4597812804388114,0.12315570011753878,0.34483596032910857,0.05473586671890611
15,-2.1133333333333333,0.9661747961365741,0.4521375090555556,0.12110826135416666,0.3391031317916667,0.05382589393518518
16,-2.2365444445292257,0.9720934307193444,0.45490723220292445,0.12185015148292616,0.3411804241521933,0.05415562288130052
17,-2.6007928613251354,0.9895906617356282,0.46309535145288455,0.12404339771059407,0.34732151358966334,0.05513039898248625
18,-3.1901591800492546,1.0179017762289846,0.4763440067032574,0.12759214465265822,0.357258005027443,0.05670761984562586
19,-3.9788852644799713,1.0557894426442538,0.49407416814550037,0.1323412950389733,0.37055562610912524,0.058818353350654794
20,-4.932499999999999,1.1015977881538939,0.5155109426458333,0.13808328820870533,0.386633206984375,0.06137035031498015
21,-6.009325846715921,1.1533247682463044,0.5397174402935352,0.14456717150719692,0.4047880802201514,0.06425207622542085
22,-7.162300347942548,1.2087096656778573,0.5656357209857383,0.15150956812117988,0.4242267907393037,0.0673375858316355
23,-8.341032985390786,1.2653318946645697,0.5921330314864839,0.15860706200530822,0.44409977361486297,0.07049202755791475
