month,avg_temp_c,avg_heating_cop,avg_cooling_cop,total_hp_load_mwh,total_ac_load_mwh,total_hp_ac_load_mwh,avg_aeso_load_mw,avg_load_modifier_percent,max_load_modifier_percent
2023-11,2.0636490250696378,3.590545961002785,4.936980501392758,0.5072983197071934,0.0,0.5072983197071934,1182.5010751430361,6.172242304550218e-05,0.00012714093656483052
2023-12,0.5657258064516129,3.5306290322580645,4.958385752688172,0.584415647465482,0.0,0.584415647465482,1191.5626079784945,6.795020642170992e-05,0.00015791472613660895
2024-01,-9.105241935483871,3.1437903225806454,4.972161290322581,1.1131749732476823,0.0,1.1131749732476823,1300.0372495303764,0.00011301985069347557,0.0003204231583477723
2024-02,-4.029352517985612,3.3468258992805753,4.975368345323741,0.7408022617620279,0.0,0.7408022617620279,1216.159794609784,8.888830498931609e-05,0.0002175760375808073
2024-03,-3.8561827956989245,3.353752688172043,4.955907258064516,0.7999248778926527,0.0,0.7999248778926527,1200.0141997438172,8.997557508443258e-05,0.00024370461175861
2024-04,5.415020862308762,3.7246008344923505,4.869742698191933,0.39005647629849133,0.0,0.39005647629849133,1143.018506194854,4.908237721719656e-05,0.0001116198275988951
2024-05,9.660483870967742,3.8944193548387096,4.761295698924731,0.26443484555638413,0.008041311384026332,0.27247615694041044,1130.346952490457,3.4039738410579024e-05,9.359633807347984e-05
2024-06,13.829722222222221,4.061188888888889,4.638108333333333,0.13866107835193553,0.020758906083022288,0.1594199844349578,1105.2730623566667,2.1640780661166278e-05,7.459492906910203e-05
2024-07,20.95822102425876,4.346328840970351,4.424253369272237,0.028688162454022743,0.141134591799792,0.1698227542538147,1307.6717850355794,1.610307210062808e-05,4.4439775485434724e-05
2024-08,17.453028263795424,4.206121130551817,4.529409152086138,0.06857294073016934,0.06345263445960772,0.13202557518977706,1182.8031376343204,1.5202282825265785e-05,4.865427812648042e-05
2024-09,14.650974930362116,4.094038997214485,4.613357938718663,0.13778533157987152,0.0482384084938824,0.1860237400737539,1160.0821965830082,2.3397559580325395e-05,7.851786418762601e-05
2024-10,7.169623655913978,3.794784946236559,4.820641129032258,0.3473999735483643,0.0035286378958136588,0.350928611444178,1146.3992884217741,4.263034212713634e-05,0.00011145254430959855
2024-11,-3.397913769123783,3.372083449235048,4.950628650904033,0.7530545978074886,0.0,0.7530545978074886,1235.1303978015299,8.521433907863239e-05,0.00018972514635308006
2024-12,-2.1938088829071334,3.4202476446837142,4.963053835800808,0.7129380710334363,0.0,0.7129380710334363,1249.3452773240915,7.766152779074405e-05,0.0001927310980617627
