scenario,formulation,estimated_Calgary_HP_count,annual_energy_GWh,peak_load_MW,peak_datetime,average_modifier_percent,peak_modifier_percent
P10,Lorenz,318.9375,0.6706269070943898,0.48442821262687086,2024-01-14 06:00:00,0.07622220913815309,0.5223161092746127
P10,Carnot,318.9375,0.6515056275487698,0.43973135766672355,2024-01-14 06:00:00,0.0742528355143234,0.4724352967228108
P50,Lorenz,425.25,1.2458878585456667,0.7680545013286473,2024-01-14 06:00:00,0.1427189682972659,0.8310139299160327
P50,Carnot,425.25,1.2232682244741204,0.7003107789393166,2024-01-14 06:00:00,0.14040778567082393,0.755288497722285
P90,Lorenz,637.875,2.771782280145438,1.6507110814966681,2024-01-14 06:00:00,0.3188458714528101,1.794289817185811
P90,Carnot,637.875,2.677260381509772,1.5131090902930715,2024-01-14 06:00:00,0.30891243199748974,1.6397922622535828
